"(PDH-CSV 4.0) (","\\INSWAVE\process(W-Gear(Swing))\Working Set - Private","\\INSWAVE\process(W-BrowserUpdate)\Working Set - Private","\\INSWAVE\process(W-Browser#4)\Working Set - Private","\\INSWAVE\process(W-Browser#3)\Working Set - Private","\\INSWAVE\process(W-Browser#2)\Working Set - Private","\\INSWAVE\process(W-Browser#1)\Working Set - Private","\\INSWAVE\process(W-Browser)\Working Set - Private","\\INSWAVE\memory\Available Bytes"
"05/11/2017 17:33:39.250","5795840","7028736","309284864","8744960","40009728","1548288","23244800","580775936"
"05/11/2017 17:33:44.253","5795840","7028736","310407168","8744960","46034944","1548288","23244800","580300800"
"05/11/2017 17:33:49.269","5795840","7028736","325660672","8744960","45776896","1548288","22798336","559247360"
"05/11/2017 17:33:54.273","5795840","7028736","299765760","8744960","40013824","1548288","22798336","590114816"
"05/11/2017 17:33:59.290","5795840","7028736","308080640","8744960","39747584","1548288","23248896","580775936"
"05/11/2017 17:34:04.293","5795840","7028736","305446912","8744960","41316352","1548288","23248896","586428416"
"05/11/2017 17:34:09.310","5795840","7028736","311013376","8744960","45510656","1548288","23248896","575774720"
"05/11/2017 17:34:14.314","5795840","7028736","297398272","8744960","40009728","1548288","22802432","593539072"
"05/11/2017 17:34:19.345","5795840","7028736","307752960","8744960","40009728","1548288","23248896","582234112"
"05/11/2017 17:34:24.348","5898240","7028736","304058368","8744960","41316352","1548288","23248896","587153408"
"05/11/2017 17:34:29.364","5898240","7028736","304959488","8744960","47083520","1548288","23248896","582336512"
"05/11/2017 17:34:34.369","5898240","7028736","315248640","8744960","40009728","1548288","22802432","574816256"
"05/11/2017 17:34:39.383","5898240","7028736","315383808","8744960","40009728","1548288","23248896","574922752"
"05/11/2017 17:34:44.387","5799936","7028736","315117568","8744960","40534016","1548288","23248896","575762432"
"05/11/2017 17:34:49.402","5799936","7028736","310222848","8744960","47345664","1548288","23248896","576622592"
"05/11/2017 17:34:54.418","5799936","7028736","323190784","8744960","39747584","1548288","22802432","569073664"
"05/11/2017 17:34:59.435","5799936","7028736","323764224","8744960","42893312","1548288","22802432","567934976"
"05/11/2017 17:35:04.452","5795840","7028736","318005248","8744960","39747584","1548288","23183360","572624896"
"05/11/2017 17:35:09.468","5795840","7028736","318287872","8744960","46034944","1548288","23244800","570011648"
"05/11/2017 17:35:14.472","5795840","7028736","326737920","8744960","39751680","1548288","22798336","566382592"
"05/11/2017 17:35:19.490","5795840","7028736","309346304","8744960","40267776","1548288","22798336","584417280"
"05/11/2017 17:35:24.497","5799936","7028736","313790464","8744960","40009728","1548288","23244800","576585728"
"05/11/2017 17:35:29.512","5799936","7028736","316059648","8744960","40792064","1548288","23244800","576262144"
"05/11/2017 17:35:34.515","5799936","7028736","325115904","8744960","39747584","1548288","22855680","567816192"
"05/11/2017 17:35:39.528","5799936","7028736","311681024","8744960","39739392","1548288","22855680","583335936"
"05/11/2017 17:35:44.531","5799936","7028736","316354560","8744960","40009728","1548288","23302144","573906944"
"05/11/2017 17:35:49.546","5799936","7028736","309665792","8744960","41054208","1548288","23302144","581607424"
"05/11/2017 17:35:54.549","5799936","7028736","321937408","8744960","39747584","1548288","22855680","569872384"
"05/11/2017 17:35:59.570","5799936","7028736","322764800","8744960","45252608","1548288","22855680","565436416"
"05/11/2017 17:36:04.589","5799936","7028736","315117568","8744960","39743488","1548288","23302144","575762432"
"05/11/2017 17:36:09.603","5799936","7028736","311758848","8744960","46297088","1548288","23302144","577200128"
"05/11/2017 17:36:14.611","5799936","7028736","325890048","8744960","39747584","1548288","22855680","569262080"
"05/11/2017 17:36:19.628","5799936","7028736","327532544","8744960","39743488","1548288","22855680","571691008"
"05/11/2017 17:36:24.632","5799936","7028736","306851840","8744960","39747584","1548288","23302144","585904128"
"05/11/2017 17:36:29.647","5799936","7028736","308121600","8744960","46559232","1548288","23302144","580513792"
"05/11/2017 17:36:34.655","5799936","7028736","321114112","8744960","47607808","1548288","22855680","567689216"
"05/11/2017 17:36:39.696","5799936","7028736","322035712","8744960","40005632","1548288","22798336","575643648"
